date,Brand,Competitors,FMCG products,Finance,News,Promo and engagement,Service and logistics,Sub-brand
26/12/2021,93,229,231,179,82,201,209,226
02/01/2022,74,179,172,184,41,202,217,160
09/01/2022,62,152,161,157,36,184,183,129
16/01/2022,55,140,151,149,33,155,173,124
23/01/2022,52,146,144,144,31,146,160,122
30/01/2022,57,155,179,155,29,149,170,118
06/02/2022,56,158,212,154,37,144,157,119
13/02/2022,57,156,196,152,27,158,153,120
20/02/2022,55,153,172,156,28,168,152,114
27/02/2022,59,165,186,157,31,170,166,126
06/03/2022,62,175,175,164,40,172,156,134
13/03/2022,58,167,192,160,32,181,147,131
20/03/2022,59,164,194,168,34,191,151,131
27/03/2022,60,166,214,165,38,176,165,137
03/04/2022,63,165,211,163,46,178,173,139
10/04/2022,64,170,197,151,45,151,160,146
17/04/2022,83,209,220,174,54,163,154,190
24/04/2022,64,171,196,165,45,160,173,158
01/05/2022,67,174,197,166,49,158,160,180
08/05/2022,64,161,186,154,34,150,153,149
15/05/2022,59,161,171,153,32,137,155,136
22/05/2022,77,213,202,169,40,150,157,192
29/05/2022,61,175,152,173,33,147,165,138
05/06/2022,83,218,200,178,54,144,160,193
12/06/2022,66,178,162,167,34,143,159,148
19/06/2022,61,163,153,162,33,137,146,137
26/06/2022,63,168,173,170,37,144,158,140
03/07/2022,70,179,168,170,39,143,159,149
10/07/2022,90,238,214,174,53,139,157,212
17/07/2022,67,179,181,174,40,136,153,153
24/07/2022,72,189,171,176,38,147,156,151
31/07/2022,72,191,192,175,36,145,183,165
07/08/2022,71,187,208,164,38,148,163,167
14/08/2022,87,228,224,171,52,143,149,226
21/08/2022,66,180,203,162,40,153,151,169
28/08/2022,71,177,186,173,41,160,171,155
04/09/2022,67,173,211,184,37,191,168,143
11/09/2022,62,157,231,169,36,214,164,132
18/09/2022,65,158,230,162,34,196,163,140
25/09/2022,71,163,259,170,40,197,166,138
02/10/2022,69,171,197,176,45,188,158,158
09/10/2022,72,178,171,160,45,178,155,175
16/10/2022,61,162,158,159,33,165,139,163
23/10/2022,63,162,175,160,35,185,140,147
30/10/2022,81,229,201,175,49,202,150,199
06/11/2022,74,218,175,169,50,183,141,180
13/11/2022,67,176,174,163,34,204,147,135
20/11/2022,67,176,160,158,34,193,136,137
27/11/2022,63,185,161,178,42,192,151,138
04/12/2022,67,190,156,170,46,179,153,150
11/12/2022,72,207,163,166,48,189,161,158
18/12/2022,95,230,224,187,69,192,176,206
25/12/2022,83,214,216,185,63,207,158,193
01/01/2023,66,174,184,185,37,194,161,150
08/01/2023,60,163,170,180,42,167,153,134
15/01/2023,62,155,165,169,38,160,153,142
22/01/2023,57,163,154,167,32,165,145,145
29/01/2023,60,155,174,176,37,161,155,135
05/02/2023,57,156,161,177,30,182,163,128
12/02/2023,59,151,181,168,31,165,155,127
19/02/2023,61,155,171,171,30,176,149,122
26/02/2023,65,163,182,180,35,194,147,125
05/03/2023,59,162,164,164,32,189,153,125
12/03/2023,57,160,175,164,32,199,153,119
19/03/2023,56,156,176,157,31,162,149,125
26/03/2023,61,159,197,169,31,182,153,129
02/04/2023,67,169,184,167,38,199,170,143
09/04/2023,79,207,220,187,54,180,147,192
16/04/2023,64,166,181,165,32,141,137,142
23/04/2023,63,170,187,166,35,161,144,158
30/04/2023,90,209,260,188,60,156,156,227
07/05/2023,78,210,205,174,44,149,153,187
14/05/2023,76,209,190,165,44,153,149,196
21/05/2023,60,172,165,158,27,152,144,137
28/05/2023,78,222,197,165,47,155,154,190
04/06/2023,64,176,155,163,36,140,147,136
11/06/2023,61,171,175,163,32,140,143,135
18/06/2023,62,169,151,156,30,142,147,134
25/06/2023,68,176,187,163,40,133,146,145
02/07/2023,72,183,176,177,35,137,156,144
09/07/2023,87,222,203,157,108,133,150,198
16/07/2023,64,173,171,154,61,128,145,144
23/07/2023,64,168,173,158,46,133,132,134
30/07/2023,68,181,191,161,38,134,133,140
06/08/2023,67,184,181,164,46,127,130,151
13/08/2023,81,265,221,161,50,125,127,200
20/08/2023,64,186,203,153,42,141,128,168
27/08/2023,65,178,217,155,45,159,140,152
03/09/2023,65,170,207,181,36,175,141,146
10/09/2023,65,152,221,160,35,191,151,127
